species,decimalLatitude,decimalLongitude
Hyacinthoides hispanica,53.231411,-2.883077
Hyacinthoides non-scripta,53.288686,-2.202949
Hyacinthoides non-scripta,53.259812,-2.661796
Hyacinthoides non-scripta,53.256217,-2.661741
Hyacinthoides hispanica,53.231389,-2.886072
Hyacinthoides non-scripta,53.230105,-2.141522
Hyacinthoides non-scripta,53.102296,-2.698209
Hyacinthoides non-scripta,53.974108,-0.730267
Hyacinthoides hispanica,53.760354,-0.388436
Hyacinthoides non-scripta,51.638843,-3.459813
Hyacinthoides non-scripta,50.855523,-0.975963
Hyacinthoides non-scripta,53.967388,-0.725395
Hyacinthoides non-scripta,52.367787,-1.577994
Hyacinthoides non-scripta,50.437655,-4.685025
Hyacinthoides non-scripta,53.349969,-6.298511
Hyacinthoides non-scripta,53.069614,-2.27233
Hyacinthoides non-scripta,53.563089,-7.722469
Hyacinthoides hispanica,50.847015,-0.118114
Hyacinthoides hispanica,53.424139,-3.063522
Hyacinthoides hispanica,53.725955,-0.379101
Hyacinthoides non-scripta,57.269378,-4.574208
Hyacinthoides non-scripta,52.451522,-1.587472
Hyacinthoides non-scripta,51.516143,-3.73569
Hyacinthoides hispanica,53.235565,-2.9456
Hyacinthoides non-scripta,52.645117,-8.641599
Hyacinthoides non-scripta,52.019611,-2.598843
Hyacinthoides hispanica,53.214795,-2.899686
Hyacinthoides hispanica,53.185955,-2.887187
Hyacinthoides non-scripta,51.524445,-3.104729
Hyacinthoides non-scripta,51.506639,-3.233963
Hyacinthoides hispanica,53.275029,-2.768854
Hyacinthoides non-scripta,54.647219,-5.787637
Hyacinthoides hispanica,53.972798,-1.075649
Hyacinthoides non-scripta,53.560375,-9.362539
Hyacinthoides hispanica,53.267732,-2.76579
Hyacinthoides hispanica,52.971873,-1.137503
Hyacinthoides non-scripta,53.285275,-2.515612
Hyacinthoides hispanica,53.204782,-2.872978
Hyacinthoides non-scripta,51.525265,-3.270564
Hyacinthoides hispanica,51.611667,-3.972879
Hyacinthoides non-scripta,52.288286,-2.797217
Hyacinthoides non-scripta,51.973472,-4.897667
Hyacinthoides non-scripta,53.207304,-2.559505
Hyacinthoides hispanica,53.752374,-0.362454
Hyacinthoides hispanica,53.369943,-2.880047
Hyacinthoides non-scripta,53.232045,-4.134033
Hyacinthoides non-scripta,55.757053,-5.042922
Hyacinthoides non-scripta,51.863603,-0.120968
Hyacinthoides hispanica,53.770329,-0.370247
Hyacinthoides non-scripta,53.326098,-3.009238
Hyacinthoides hispanica,53.187515,-2.873484
Hyacinthoides non-scripta,53.241565,-2.64608
Hyacinthoides non-scripta,53.376277,-3.176988
Hyacinthoides hispanica,50.8581,-0.112261
Hyacinthoides non-scripta,54.15535,-6.413738
Hyacinthoides non-scripta,53.87177,-1.022839
Hyacinthoides hispanica,53.20992,-2.902845
Hyacinthoides non-scripta,53.207577,-2.560652
Hyacinthoides non-scripta,53.36591,-3.043553
Hyacinthoides non-scripta,54.576422,-5.71985
Hyacinthoides hispanica,51.550217,-0.161716
Hyacinthoides non-scripta,51.876734,-4.018495
Hyacinthoides hispanica,53.206822,-2.86535
Hyacinthoides hispanica,53.292521,-3.075989
Hyacinthoides hispanica,53.203645,-2.874328
Hyacinthoides hispanica,53.209894,-2.902565
Hyacinthoides hispanica,53.94049,-1.129469
Hyacinthoides non-scripta,53.209864,-2.851999
Hyacinthoides non-scripta,53.246112,-2.672323
Hyacinthoides non-scripta,52.394818,-1.525938
Hyacinthoides non-scripta,51.64279,0.417146
Hyacinthoides non-scripta,53.295246,-2.924087
Hyacinthoides hispanica,53.268605,-2.506003
Hyacinthoides hispanica,53.204782,-2.872978
Hyacinthoides non-scripta,53.246579,-2.673731
Hyacinthoides hispanica,53.752432,-0.389601
Hyacinthoides non-scripta,51.433267,-0.263223
Hyacinthoides hispanica,53.204782,-2.872978
Hyacinthoides hispanica,51.466979,-0.33356
Hyacinthoides hispanica,53.178132,-2.863144
Hyacinthoides non-scripta,52.217456,0.086251
Hyacinthoides hispanica,51.607803,-3.980109
Hyacinthoides non-scripta,52.645028,-8.641677
Hyacinthoides non-scripta,53.340514,-2.889499
Hyacinthoides hispanica,53.988743,-1.069905
Hyacinthoides hispanica,53.161889,-2.209039
Hyacinthoides hispanica,53.269131,-2.506383
Hyacinthoides non-scripta,53.27354,-2.52677
Hyacinthoides hispanica,53.20992,-2.902855
Hyacinthoides non-scripta,53.181061,-2.894268
Hyacinthoides non-scripta,53.18612,-2.779028
Hyacinthoides non-scripta,51.529796,0.438983
Hyacinthoides hispanica,53.175321,-2.893378
Hyacinthoides hispanica,51.442404,-2.533286
Hyacinthoides non-scripta,53.263356,-7.517826
Hyacinthoides hispanica,51.494078,-3.195216
Hyacinthoides non-scripta,52.574343,-2.616307
Hyacinthoides hispanica,51.486964,-2.635523
Hyacinthoides hispanica,53.956997,-1.110858
Hyacinthoides hispanica,53.114331,-2.854295
Hyacinthoides non-scripta,51.610724,-3.976216
Hyacinthoides hispanica,53.762849,-0.405598
Hyacinthoides hispanica,53.181093,-2.894258
Hyacinthoides non-scripta,52.237195,-1.626318
Hyacinthoides hispanica,53.208496,-2.907602
Hyacinthoides non-scripta,51.634066,-3.105096
Hyacinthoides hispanica,53.164442,-2.250551
Hyacinthoides non-scripta,52.451188,-1.533657
Hyacinthoides non-scripta,51.610748,-3.976069
Hyacinthoides non-scripta,52.779455,-1.964912
Hyacinthoides non-scripta,54.646343,-5.811356
Hyacinthoides non-scripta,51.402152,-2.607446
Hyacinthoides non-scripta,51.402838,-0.302151
Hyacinthoides hispanica,53.272627,-2.903943
Hyacinthoides non-scripta,53.379194,-2.892907
Hyacinthoides non-scripta,53.201232,-1.907176
Hyacinthoides non-scripta,53.227873,-2.881917
Hyacinthoides hispanica,53.276447,-2.815816
Hyacinthoides hispanica,53.265514,-2.511101
Hyacinthoides hispanica,53.26269,-2.901787
Hyacinthoides non-scripta,51.403042,-0.302182
Hyacinthoides non-scripta,53.955614,-1.058283
Hyacinthoides non-scripta,53.281865,-2.727935
Hyacinthoides non-scripta,53.209859,-2.554271
Hyacinthoides hispanica,51.433377,-0.262867
