species,decimalLatitude,decimalLongitude
Sympetrum vicinum,38.702069,-76.603605
Plathemis lydia,42.028873,-70.863815
Plathemis lydia,39.8924,-75.2581
Libellula luctuosa,37.66677,-77.888132
Plathemis lydia,41.8674,-70.9873
Plathemis lydia,40.116294,-84.5293
Libellula pulchella,41.840129,-88.07573
Sympetrum semicinctum,38.45117,-107.79383
Calopteryx maculata,41.23891,-74.73575
Plathemis lydia,39.615322,-76.541065
Argia apicalis,42.043558,-83.215438
Libellula luctuosa,35.986776,-88.887707
Sympetrum semicinctum,52.2085,-96.1552
Libellula vibrans,38.93289,-74.95763
Sympetrum ambiguum,38.98758,-74.91465
Libellula pulchella,42.23288,-84.80438
Argia apicalis,29.034504,-96.516218
Argia fumipennis,39.13831,-77.5684
Aeshna constricta,44.33652,-100.27244
Aeshna umbrosa,37.45739,-79.02344
Libellula vibrans,38.97693,-75.53542
Aeshna umbrosa,44.53833,-72.21039
Plathemis lydia,41.420694,-93.051989
Libellula cyanea,42.695548,-70.875143
Plathemis lydia,38.72112,-76.64465
Libellula luctuosa,39.10577,-74.82642
Libellula vibrans,33.497132,-79.533039
Libellula luctuosa,42.23288,-84.80438
Libellula luctuosa,32.4736,-97.41432
Aeshna palmata,43.571819,-116.141109
Sympetrum corruptum,32.31042,-110.811064
Libellula vibrans,40.582532,-74.123061
Calopteryx maculata,44.77025,-63.60581
Calopteryx maculata,39.312895,-75.156764
Libellula vibrans,34.2992,-85.2023
Libellula luctuosa,32.885825,-97.281741
Calopteryx maculata,44.82876,-71.712946
Sympetrum semicinctum,44.47995,-73.18511
Calopteryx maculata,37.52482,-77.4738
Libellula incesta,39.58076,-75.06026
Libellula vibrans,36.57526,-77.44822
Argia apicalis,30.66452,-97.37868
Argia apicalis,38.911247,-75.453874
Sympetrum vicinum,41.88,-71.1265
Argia apicalis,40.65212,-93.84538
Libellula vibrans,39.31231,-75.15562
Libellula cyanea,40.64944,-81.26809
Libellula luctuosa,37.22548,-80.42708
Sympetrum vicinum,32.437241,-97.666436
Argia sedula,29.08099,-81.56645
Libellula luctuosa,42.4557,-89.11114
Argia apicalis,37.545254,-77.998452
Libellula luctuosa,40.65212,-93.84538
Argia moesta,44.783263,-91.240405
Calopteryx maculata,41.874208,-71.320003
Libellula cyanea,35.33631,-94.03973
Plathemis lydia,39.48649,-76.34494
Hetaerina titia,26.17975,-98.36644
Calopteryx maculata,44.882922,-78.613862
Plathemis lydia,39.710112,-74.746242
Argia tibialis,29.335084,-95.288158
Aeshna umbrosa,46.733847,-71.412195
Argia moesta,46.08192,-107.39635
Argia moesta,44.79855,-92.788839
Argia moesta,41.63053,-88.52414
Plathemis lydia,38.17916,-78.36617
Argia tibialis,30.50598,-95.088364
Libellula luctuosa,40.207721,-87.650471
Sympetrum corruptum,31.793847,-111.015301
Hetaerina titia,42.01716,-89.32529
Libellula luctuosa,41.816484,-94.639696
Argia moesta,41.63053,-88.52414
Argia moesta,41.906182,-70.668963
Hetaerina americana,31.19453,-98.71299
Libellula incesta,34.174,-85.2031
Sympetrum corruptum,31.488724,-110.853745
Libellula vibrans,39.12076,-74.80881
Libellula vibrans,35.71134,-86.27302
Argia moesta,33.803242,-106.881116
Sympetrum obtrusum,42.376159,-122.203323
Argia sedula,33.549445,-111.642476
Sympetrum obtrusum,45.1387,-121.5597
Sympetrum vicinum,41.916348,-70.577065
Plathemis lydia,32.31148,-97.01582
Calopteryx angustipennis,38.698468,-77.916796
Plathemis lydia,39.12928,-96.44063
Libellula vibrans,30.426089,-84.315998
Argia moesta,42.017162,-89.325328
Plathemis lydia,42.439084,-84.555525
Plathemis lydia,33.01749,-97.09765
Argia fumipennis,42.0467,-84.2485
Plathemis lydia,37.676897,-77.50832
Sympetrum corruptum,36.43871,-115.35847
Plathemis lydia,39.53165,-75.04356
Libellula cyanea,40.48575,-78.271082
Sympetrum vicinum,45.73191,-122.5637
Sympetrum ambiguum,39.2171,-74.92268
Libellula pulchella,44.935728,-92.790877
Libellula luctuosa,41.913588,-71.10402
Calopteryx maculata,31.97172,-95.88279
Libellula cyanea,38.751512,-79.118188
Plathemis lydia,39.13337,-74.84763
Libellula luctuosa,39.02686,-77.51474
Libellula incesta,38.776402,-77.795477
Libellula pulchella,47.38651,-109.74814
Plathemis lydia,43.233346,-80.207153
