species,year,ssp,suitability,range,centroid_x,centroid_y,runtime,suitability_change,range_change,distance_change
Aeshna umbrosa,2050,ssp1,0.0991144707884509,5582841,-93.0765739872007,43.0794735420025,395.514024019241,1.07472321883389,1.06627193936573,96.4043399351602
Aeshna umbrosa,2050,ssp2,0.100923756995905,5711644,-93.5666832263457,44.0154488464928,375.881274938583,1.09434176576451,1.09087214284746,200.399954689946
Aeshna umbrosa,2050,ssp5,0.10575185814189,6080706,-94.5667017028245,45.3354000310767,374.198962926865,1.14669408488796,1.16135963380165,366.435084267076
Aeshna umbrosa,2075,ssp1,0.104862929148691,6019942,-94.4686386889079,44.1751752978777,387.587826013565,1.13705520348864,1.14975426153265,261.310047920532
Aeshna umbrosa,2075,ssp2,0.108003428639922,6371766,-95.8196162877803,45.9542466829632,385.458312988281,1.17110843199416,1.21694945100615,479.425277639724
Aeshna umbrosa,2075,ssp5,0.124536904254539,7971142,-99.134746903679,48.9951556625467,371.954467058182,1.35038508039577,1.52241574483307,899.317142413171
Aeshna umbrosa,2100,ssp1,0.109994680605404,6391942,-95.8505913424231,44.4949074687426,370.804226875305,1.19270007955912,1.2208028838101,369.410855715216
Aeshna umbrosa,2100,ssp2,0.117863417679293,7391714,-97.5427641213685,47.4192801813036,375.176829099655,1.27802278136981,1.41175025798099,688.931845632652
Aeshna umbrosa,2100,ssp5,0.139347703616316,9440641,-101.142323586965,52.6515946711111,376.055456161499,1.51098231546113,1.80307671093009,1310.00441371141
Aeshna palmata,2050,ssp1,0.0706927302481957,4759134,-115.152717240035,47.1833997098795,809.958379030228,1.16289892078864,1.12255190211642,298.597120592444
Aeshna palmata,2050,ssp2,0.0747630813864287,5105465,-114.92460197385,47.2702044850594,807.251390218735,1.2298563990083,1.20424208415624,294.000238930785
Aeshna palmata,2050,ssp5,0.0803814952524031,5379743,-113.779640972154,48.4750719610148,814.833754062653,1.32227958592366,1.26893689850874,373.211795925139
Aeshna palmata,2075,ssp1,0.0708671388757372,4588752,-116.770857705009,48.1804517947672,812.181108951569,1.16576795136692,1.08236336399448,462.960932683994
Aeshna palmata,2075,ssp2,0.078949955669988,5255380,-117.327549268699,49.3316072370578,813.675060987473,1.29873068875117,1.2396030066278,584.050731751877
Aeshna palmata,2075,ssp5,0.105911069410788,7125643,-115.273744115521,52.7845386101369,807.688251972198,1.74224234776276,1.68074782165254,863.583123939769
Aeshna palmata,2100,ssp1,0.0722961128240519,4707351,-118.69492345237,48.7771665429007,814.877815008163,1.18927464373113,1.11033768306999,614.377167316861
Aeshna palmata,2100,ssp2,0.0755807949423018,5066610,-122.846476220438,51.5244174102831,809.672297000885,1.24330782758237,1.1950772331231,1036.40214414384
Aeshna palmata,2100,ssp5,0.137142625011463,9270685,-112.441914786725,56.763128022324,807.727207899094,2.25600298729476,2.18670562347523,1282.21093005723
Aeshna canadensis,2050,ssp1,0.0495977375685976,3672860,-89.6494887913909,46.0742523733413,609.672173976898,1.09501861589548,1.08881777393052,124.256458903848
Aeshna canadensis,2050,ssp2,0.054680314870314,4077866,-89.5051535781381,46.947049640427,599.644572019577,1.20723173356863,1.20888162916827,169.369241869931
Aeshna canadensis,2050,ssp5,0.0633082029541005,4806941,-90.8375077695423,48.046119312608,605.465270996094,1.39771820595141,1.42501560065871,327.49715006129
Aeshna canadensis,2075,ssp1,0.0556851434604303,4408148,-92.1151353772484,47.1128967239852,611.409971952438,1.22941633443756,1.30679358660997,342.148050165046
Aeshna canadensis,2075,ssp2,0.0648992279259364,4908443,-91.999825304132,48.4617699621181,579.615881204605,1.43284484776859,1.45510582508586,420.371397612392
Aeshna canadensis,2075,ssp5,0.092170452355622,6886837,-96.5757360433605,51.028676161264,572.311017990112,2.03493881198353,2.04159987904857,856.379841327665
Aeshna canadensis,2100,ssp1,0.0593888453623275,4713262,-93.2967337874639,47.1743781829031,573.606724023819,1.31118664754299,1.39724450123101,427.882063186222
