species,year,ssp,range_mean_suitability,range_size,range_centroid_x,range_centroid_y,eval_runtime,eval_training_auc,eval_testing_auc,output_threshold,Bioclim1,Bioclim10,Bioclim12,Bioclim4,Bioclim7,PFT14,PFT2,PFT10,PFT6,Population,slope,PFT1,PFT7,Bioclim11,PFT13,Rainfed,PFT12,Irrigated,PFT31,PFT11,genus,distance
Argia fumipennis,2020,baseline,0.0883,4545270,-86.3322,37.9753,1424.9932,0.858,0.9492,0.3991,6.0321,22.3705,8.8553,40.5035,11.6589,0.3677,10.212,,,,,,,,,,,,,,Argia,0.0
Argia fumipennis,2050,ssp1,0.085,4145555,-85.3865,38.8458,773.6632,,,,,,,,,,,,,,,,,,,,,,,,Argia,127.11879174097137
Argia fumipennis,2050,ssp2,0.0885,4039160,-85.799,39.122,773.5852,,,,,,,,,,,,,,,,,,,,,,,,Argia,135.51176803235595
Argia fumipennis,2050,ssp5,0.08,3227687,-85.9047,41.1435,778.1869,,,,,,,,,,,,,,,,,,,,,,,,Argia,353.6652748681301
Argia fumipennis,2075,ssp1,0.0838,3762274,-84.7051,39.8653,770.8865,,,,,,,,,,,,,,,,,,,,,,,,Argia,252.8408098863087
Argia fumipennis,2075,ssp2,0.0782,2953655,-84.2005,41.829,776.0932,,,,,,,,,,,,,,,,,,,,,,,,Argia,465.05698449073265
Argia fumipennis,2075,ssp5,0.0639,2378520,-87.7997,42.6984,770.8644,,,,,,,,,,,,,,,,,,,,,,,,Argia,539.0530937450512
Argia fumipennis,2100,ssp1,0.094,4708113,-86.8774,39.0628,787.0483,,,,,,,,,,,,,,,,,,,,,,,,Argia,129.7446008388327
Argia fumipennis,2100,ssp2,0.0837,3141469,-84.72,42.5244,776.5508,,,,,,,,,,,,,,,,,,,,,,,,Argia,523.392666290062
Argia fumipennis,2100,ssp5,0.0477,1391970,-90.2131,44.5034,772.034,,,,,,,,,,,,,,,,,,,,,,,,Argia,794.4023387538055
Argia apicalis,2020,baseline,0.073,4437501,-89.6437,37.1682,1879.948,0.867,0.9656,0.3466,14.1247,29.8703,,28.7815,9.5894,,3.0286,3.3947,2.2062,6.2021,2.8025,,,,,,,,,,Argia,0.0
Argia apicalis,2050,ssp1,0.0796,4618156,-89.6963,37.4337,1167.3119,,,,,,,,,,,,,,,,,,,,,,,,Argia,29.832817823821628
Argia apicalis,2050,ssp2,0.0861,4938995,-89.5397,37.9327,1155.3132,,,,,,,,,,,,,,,,,,,,,,,,Argia,85.34653107514421
Argia apicalis,2050,ssp5,0.0921,5203103,-89.1623,38.5289,1152.1835,,,,,,,,,,,,,,,,,,,,,,,,Argia,156.85881483685557
Argia apicalis,2075,ssp1,0.0782,4464433,-89.0565,37.5485,1149.9661,,,,,,,,,,,,,,,,,,,,,,,,Argia,66.98988957389795
Argia apicalis,2075,ssp2,0.0955,5409659,-88.894,38.6301,1154.058,,,,,,,,,,,,,,,,,,,,,,,,Argia,175.14684065936817
Argia apicalis,2075,ssp5,0.0978,5117407,-88.4263,40.8527,1153.3456,,,,,,,,,,,,,,,,,,,,,,,,Argia,422.39615254004093
Argia apicalis,2100,ssp1,0.0851,4841641,-89.6884,37.5751,1148.0881,,,,,,,,,,,,,,,,,,,,,,,,Argia,45.332877477117115
Argia apicalis,2100,ssp2,0.1021,5528267,-88.647,39.1322,1153.5742,,,,,,,,,,,,,,,,,,,,,,,,Argia,234.85187916209765
Argia apicalis,2100,ssp5,0.0867,3120861,-87.5548,43.0542,1185.7236,,,,,,,,,,,,,,,,,,,,,,,,Argia,677.3272225890129
Argia moesta,2020,baseline,0.0963,6733684,-90.7464,37.666,1804.4461,0.861,0.9494,0.2863,6.1074,26.6899,,37.5364,6.1725,3.678,5.5541,,,8.3147,,0.6915,5.2555,,,,,,,,Argia,0.0
Argia moesta,2050,ssp1,0.1024,7018716,-91.1903,37.8549,1200.0463,,,,,,,,,,,,,,,,,,,,,,,,Argia,44.38006374476822
Argia moesta,2050,ssp2,0.1077,7145598,-90.9138,37.9865,1194.681,,,,,,,,,,,,,,,,,,,,,,,,Argia,38.505341984788444
Argia moesta,2050,ssp5,0.1165,7546193,-91.4825,37.993,1197.2494,,,,,,,,,,,,,,,,,,,,,,,,Argia,74.27429586301905
Argia moesta,2075,ssp1,0.0997,6872159,-91.4004,37.7402,1198.5188,,,,,,,,,,,,,,,,,,,,,,,,Argia,58.258149333361004
Argia moesta,2075,ssp2,0.1159,7377669,-91.1579,37.9202,1189.9586,,,,,,,,,,,,,,,,,,,,,,,,Argia,45.93139670599398
Argia moesta,2075,ssp5,0.129,7990894,-92.3965,38.1795,1328.3781,,,,,,,,,,,,,,,,,,,,,,,,Argia,155.87503905688982
Argia moesta,2100,ssp1,0.1017,6909178,-91.6088,37.87,1162.7888,,,,,,,,,,,,,,,,,,,,,,,,Argia,79.28617454732755
Argia moesta,2100,ssp2,0.1194,7460153,-91.5295,37.8962,1548.962,,,,,,,,,,,,,,,,,,,,,,,,Argia,73.56483454162058
Argia moesta,2100,ssp5,0.1337,7904333,-92.777,37.7494,1164.2179,,,,,,,,,,,,,,,,,,,,,,,,Argia,179.29374165952572
Argia sedula,2020,baseline,0.0559,5075065,-94.7374,34.2731,1318.6604,0.9065,0.9617,0.2239,,41.5002,6.0704,29.2693,14.2377,,,,,8.4078,,,0.5147,,,,,,,,Argia,0.0
Argia sedula,2050,ssp1,0.0577,5147451,-95.1597,34.2979,661.8514,,,,,,,,,,,,,,,,,,,,,,,,Argia,38.9802555906481
Argia sedula,2050,ssp2,0.0649,5780835,-95.4319,34.8403,652.8957,,,,,,,,,,,,,,,,,,,,,,,,Argia,89.56387182098939
Argia sedula,2050,ssp5,0.0725,6266503,-95.3542,35.2378,647.633,,,,,,,,,,,,,,,,,,,,,,,,Argia,121.00563038245213
Argia sedula,2075,ssp1,0.0612,5501725,-95.4494,34.605,646.6033,,,,,,,,,,,,,,,,,,,,,,,,Argia,75.08384976925984
Argia sedula,2075,ssp2,0.069,6017626,-95.1547,35.2683,646.3571,,,,,,,,,,,,,,,,,,,,,,,,Argia,116.82554593777637
Argia sedula,2075,ssp5,0.0845,7206815,-96.6807,36.0221,650.0419,,,,,,,,,,,,,,,,,,,,,,,,Argia,262.68258484994317
